13,16									
-1,-1,-1,-1,-1,-1,-1, 2,-1,-1,-1,-1, 3,-1,-1,-1
-1,-1, 1, 0, 0, 0, 0, 0, 0, 0, 0,-1, 0,-1,-1, 4
-1,-1,-1,-1,-1,-1,-1, 0,-1,-1,-1,-1, 0,-1,-1, 0
-1, 5, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1, 0,-1,-1, 0
-1,-1,-1,-1,-1,-1, 7, 0,-1,-1,-1,-1, 0,-1,-1, 0
-1, 6, 0, 0, 0, 0, 0, 0,-1, 8,-1,-1, 0,-1,-1, 0
-1,-1,-1,-1,-1,-1, 0,-1, 9, 0, 0, 0, 0, 0, 0, 0
-1,-1,-1,-1,-1,-1, 0,-1,-1, 0,-1,-1,-1,-1,-1,-1
-1,-1,10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1, 0,-1,-1,-1,-1,-1,-1
11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1, 0,-1,-1,-1,-1,-1,-1
-1,-1,-1,12, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1
